"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb",
"This is a list of permissions of the usergrup, allowing users of that group to perform certain actions and tables.","This is a list of permissions of the usergrup, allowing users of that group to perform certain actions and tables.","Dit is een lijst van machtigingen van de usergrup, zodat gebruikers van die groep om bepaalde acties uit te voeren en tafels.","Esta es una lista de los permisos de la usergrup, permitiendo a los usuarios de ese grupo para llevar a cabo ciertas acciones y mesas.","这是usergrup的权限列表，允许该组的用户执行某些操作和表格。","Dies ist eine Liste der Berechtigungen des usergrup, damit die Benutzer dieser Gruppe zu bestimmten Aktionen und Tabellen durchzuführen.","Ceci est une liste des autorisations du usergrup, permettant aux utilisateurs de ce groupe pour effectuer certaines actions et des tables.","Questa è una lista delle autorizzazioni della usergrup, consentendo agli utenti di quel gruppo di eseguire determinate azioni e tabelle.","Esta é uma lista de permissões do usergrup, permitindo que os usuários desse grupo para executar determinadas ações e tabelas.","Αυτή είναι μια λίστα με τα δικαιώματα του usergrup, επιτρέποντας στους χρήστες αυτής της ομάδας για να εκτελέσετε συγκεκριμένες ενέργειες και πίνακες.","Jest to lista uprawnień do usergrup, dzięki czemu użytkownicy z tej grupy do wykonywania określonych czynności i tabel.","Dette er en liste over tilladelser til usergrup, der giver brugerne af denne gruppe til at udføre bestemte handlinger og tabeller.","Tämä on luettelo luvat usergrup, jonka avulla käyttäjät kyseisen ryhmän tekemään oikeita toimenpiteitä ja taulukoita.","Dette er en liste over tillatelser i usergrup, slik at brukerne i denne gruppen for å utføre visse handlinger og tabeller.","هذه هي قائمة من أذونات usergrup، مما يسمح للمستخدمين لتلك المجموعة لتنفيذ إجراءات وجداول معينة.","이는 해당 그룹의 사용자가 특정 작업과 테이블을 수행 할 수 있도록, usergrup의 권한의 목록입니다.","これは、そのグループのユーザーは特定のアクションやテーブルを実行することができ、usergrupの権限の一覧です。","זוהי רשימה של הרשאות של usergrup, המאפשרת למשתמשים של קבוצה כדי לבצע פעולות מסוימות ושולחנות.","Detta är en lista över behörigheterna usergrup, så att användare i denna grupp att utföra vissa åtgärder och tabeller.","Toto je seznam oprávnění na usergrup, který umožňuje uživatelům této skupiny provádět určité akce a stoly.","Это список разрешений в usergrup, что позволяет пользователям этой группы выполнять определенные действия и таблиц.","Ito ay isang listahan ng mga pahintulot ng usergrup, na nagpapahintulot sa mga gumagamit ng pangkat na iyon upang magsagawa ng ilang mga aksyon at mga talahanayan.","Kini mao ang usa ka listahan sa mga Permissions sa usergrup, nga nagtugot sa mga tiggamit sa grupo sa pagbuhat sa pipila ka mga buhat ug mga lamesa.",
"This list the weight,cost, and destination combinations set for the ShippingMethod.","This list the weight,cost, and destination combinations set for the ShippingMethod.","Hier het gewicht, kosten en de bestemming combinaties voor de verzendmethode.","Esta lista los de peso, el costo, y combinaciones de destino fijados para el ShippingMethod.","此列表中的重量，成本和目的地为ShippingMethod设置组合。","Diese Liste der Gewicht, Kosten und Ziel-Kombinationen für die ShippingMethod gesetzt.","Cette liste les poids, le coût, et des combinaisons de destination fixés pour l'ShippingMethod.","Questo elenco i peso, costo, e le combinazioni di destinazione impostate per il ShippingMethod.","Esta lista o peso, custo, e combinações destino definido para a ShippingMethod.","Ο κατάλογος αυτός το βάρος, το κόστος και οι συνδυασμοί των προορισμών ορίζονται για την ShippingMethod.","Ta lista ciężarem kosztów i kombinacje przeznaczenia określonego w ShippingMethod.","Denne liste vægt, omkostninger og kombinationer destination er fastsat for ShippingMethod.","Tämä lista painoa, kustannuksia, ja kohde yhdistelmiä asetettu ShippingMethod.","Denne listen vekt, kostnader og destinasjons kombinasjoner satt for ShippingMethod.","هذه القائمة الوزن، والتكلفة، ومجموعات الوجهة المحددة للShippingMethod.","이 목록에 대해 설정된 ShippingMethod 중량, 비용, 및 대상의 조합을 포함한다.","このリストShippingMethodに設定重量、コスト、および宛先の組み合わせ。","רשימה זו המשקל, עלות, ושילובי היעד שנקבעו לShippingMethod.","Denna förteckning vikt, kostnad och destinationskombinationer fastställts för ShippingMethod.","Tento seznam hmotnostní, nákladů a cílovou kombinace stanovených pro ShippingMethod.","Этот список вес, стоимость и комбинации назначения, установленные для ShippingMethod.","Ang listahang ito ay ang bigat, gastos, at destination kumbinasyon set para sa mga ShippingMethod.","Kini nga listahan ang gibug-aton, gasto, ug destinasyon kalihokan alang sa ShippingMethod.",
"This lists all the countrygroups of the website. Countrygroups are a collection of countries, grouped for a certain purpose.","This lists all the countrygroups of the website. Countrygroups are a collection of countries, grouped for a certain purpose.","Dit geeft alle countrygroups van de website. Countrygroups zijn een verzameling van landen, gegroepeerd voor een bepaald doel.","Esta lista todos los countrygroups de la página web. Countrygroups son un conjunto de países, agrupados para un fin determinado.","这列出了网站的所有countrygroups。 Countrygroups是国家的集合，分组为特定的目的。","Dies listet alle countrygroups der Website. Countrygroups sind eine Sammlung von Ländern, für einen bestimmten Zweck gruppiert.","Cette répertorie tous les countrygroups du site. Countrygroups sont une collection de pays, regroupés dans un certain but.","Qui sono elencati tutti i countrygroups del sito. Countrygroups sono una raccolta di paesi, raggruppati per un determinato scopo.","Esta lista todos os countrygroups do site. Countrygroups são um conjunto de países, agrupados para um determinado fim.","Ο κατάλογος αυτός περιλαμβάνει όλες τις countrygroups της ιστοσελίδας. Countrygroups είναι μια συλλογή από τις χώρες, που ομαδοποιούνται για ένα συγκεκριμένο σκοπό.","Ta lista wszystkich countrygroups na stronie internetowej. Countrygroups to zbiór państw, pogrupowane w pewnym celu.","Dette viser alle de countrygroups af hjemmesiden. Countrygroups er en samling af lande, grupperet til et bestemt formål.","Siinä luetellaan kaikki countrygroups verkkosivuilla. Countrygroups ovat kokoelma maiden, ryhmitelty tiettyyn tarkoitukseen.","Dette viser alle countrygroups på nettsiden. Countrygroups er en samling av land, gruppert for et spesielt formål.","هذا يسرد كافة countrygroups للموقع. Countrygroups هي عبارة عن مجموعة من البلدان، جمعت لغرض معين.","이 웹 사이트의 모든 countrygroups을 나열합니다. Countrygroups 특정 목적으로 그룹화 된 국가의 모음입니다.","これは、ウェブサイトのすべてのcountrygroupsを示しています。 Countrygroupsは、特定の目的のためにグループ化された国の集まりです。","זה מפרט את כל countrygroups של האתר. Countrygroups הם אוסף של מדינות, מקובצים למטרה מסוימת.","Detta listar alla countrygroups av webbplatsen. Countrygroups är en samling av länder, grupperade för ett visst ändamål.","To jsou uvedeny všechny countrygroups těchto stránek. Countrygroups jsou sbírka zemí, seskupeny pro určitý účel.","В этом списке перечислены все countrygroups на сайте. Countrygroups представляют собой набор стран, сгруппированных для определенной цели.","Ito ay naglilista ng lahat ng mga countrygroups ng website. Countrygroups ay isang koleksyon ng mga bansa, naka-grupo para sa isang tiyak na layunin.","Kini nagtala sa tanan nga mga countrygroups sa website. Countrygroups mao ang usa ka koleksyon sa mga nasud, gihugpong sa usa ka pipila ka mga katuyoan.",
"This will list all the transactions for payment of the IncraShop and usage, for all websites.","This will list all the transactions for payment of the IncraShop and usage, for all websites.","Dit zal een lijst van alle transacties voor de betaling van de IncraShop en gebruik, voor alle websites.","Esto mostrará una lista de todas las transacciones de pago de la IncraShop y uso, para todos los sitios web.","这将列出所有交易支付的IncraShop的部署和使用，所有网站。","Dadurch werden alle Transaktionen für die Zahlung der IncraShop und Nutzen Ihrer Liste, für alle Websites.","Cela va lister toutes les transactions de paiement de la IncraShop et l'utilisation, pour tous les sites.","Questo elenco di tutte le transazioni di pagamento del IncraShop e il loro utilizzo, per tutti i siti web.","Isto irá listar todas as transações de pagamento do IncraShop e uso, para todos os websites.","Αυτό θα εμφανίσει όλες τις συναλλαγές για την καταβολή του IncraShop και τη χρήση, για όλους τους δικτυακούς τόπους.","Będzie to lista wszystkich transakcji do zapłaty IncraShop i użytkowania, dla wszystkich stron.","Dette vil liste alle de transaktioner, betaling af IncraShop og brug, for alle websteder.","Tämä listaa kaikki liiketoimet maksamisesta IncraShop ja käyttö, kaikille sivustoille.","Dette vil liste alle transaksjoner for betaling av IncraShop og bruk, for alle nettsteder.","وهذا سرد كافة المعاملات لدفع IncraShop والاستخدام، لجميع المواقع.","이것은 모든 웹 사이트에 대한, IncraShop의 지급 및 사용에 대한 모든 트랜잭션을 나열합니다.","これは、すべてのウェブサイトのために、IncraShopの支払いおよび使用のために、すべてのトランザクションが一覧表示されます。","זה יוצג רשימה של כל העסקות לתשלום IncraShop ושימוש, לכל אתרים.","Detta kommer att lista alla de transaktioner för betalning av IncraShop och användning, för alla webbplatser.","To vypíše všechny transakce pro výplatu IncraShop a použití, pro všechny webové stránky.","Это будет список всех операций по уплате IncraShop и использования, для всех сайтов.","Ito ay listahan ng lahat ng mga transaksyon para sa mga pagbabayad ng IncraShop at paggamit, para sa lahat ng mga website.","Kini ilista ang tanan nga mga transaksyon alang sa pagbayad sa mga IncraShop ug paggamit, alang sa tanan nga mga website.",
"This lists all the tax and costs records of all the orders.","This lists all the tax and costs records of all the orders.","Dit geeft alle belastingen en kosten verslagen van alle orders.","Esta lista todos los impuestos y costos de los registros de todas las órdenes.","这将列出所有的税和费的所有订单的记录。","Dies listet alle Steuern und kostet Aufzeichnungen aller Aufträge.","Cette répertorie tous les dossiers fiscaux et les coûts de tous les ordres.","Elenca tutte le tasse e costa registrazioni di tutti gli ordini.","Esta lista todos os impostos e custos de registos de todas as ordens.","Ο κατάλογος αυτός περιλαμβάνει το σύνολο των φόρων και κοστίζει αρχεία όλων των παραγγελιών.","Ta lista wszystkich podatków i kosztuje zapisy wszystkich zleceń.","Dette viser alle skat og koster optegnelser over alle ordrer.","Siinä luetellaan kaikki verot ja kustannukset kirjaa kaikista tilauksista.","Dette viser alle skatte- og koster registreringer av alle ordrene.","هذا يسرد كافة الضرائب والتكاليف بسجلات لجميع أوامر.","이것은 모든 세금을 나열하고 모든 주문 기록을 요한다.","これは、すべての税金を一覧表示し、すべての注文の記録がかかります。","זה מפרט את כל המסים ועולה תיעוד של כל ההזמנות.","Här listas alla skatt och kostar register över alla order.","To uvádí všechny daně a náklady záznamy o všech objednávek.","В этом списке перечислены все налоги и расходы учет всех заказов.","Ito ay naglilista ng lahat ng mga buwis at bayad na talaan ng lahat ng mga order.","Kini nagtala sa tanan nga mga buhis ug sa gasto sa mga rekord sa tanan nga mga sugo.",
"This will display the poll question of the thread.","This will display the poll question of the thread.","Dit zal de poll vraag van de draad weer te geven.","Esto mostrará la pregunta de la encuesta de la rosca.","这将显示该线程的投票问题。","Dies wird die Abstimmungsfrage des Gewindes angezeigt werden soll.","Cela permet d'afficher la question du sondage du fil.","Verrà visualizzata la domanda del sondaggio del filo.","Isso exibirá a pergunta da enquete da rosca.","Αυτό θα εμφανίσει την ερώτηση δημοσκόπηση του νήματος.","Spowoduje to wyświetlenie na pytanie ankietę wątku.","Dette vil vise afstemningen spørgsmålet om tråd.","Tämä näyttää kyselyn kysymys säiettä.","Dette vil vise til spørsmålet i tråden.","سيعرض هذا السؤال استطلاع للموضوع.","이 스레드의 설문 조사 질문을 표시합니다.","これは、スレッドの投票の質問が表示されます。","זה יציג את שאלת הסקר של החוט.","Detta kommer att visa omröstningen frågan om tråden.","Tím se zobrazí anketní otázku závitu.","Это покажет опрос вопрос в теме.","Ito ay ipapakita ang mga poll tanong ng thread.","Kini ipakita ang poll pangutana sa hilo.",
"This will list all clients.","This will list all clients.","Dit zal een lijst van alle klanten.","Esto mostrará una lista de todos los clientes.","这将列出所有客户端。","Dadurch werden alle Kunden auflisten.","Cela va lister tous les clients.","Questo elenco di tutti i client.","Isto irá listar todos os clientes.","Αυτό θα εμφανίσει όλους τους πελάτες.","Będzie to lista wszystkich klientów.","Dette vil liste alle klienter.","Tämä listaa kaikki asiakkaat.","Dette vil liste alle klienter.","وهذه القائمة جميع العملاء.","이 모든 클라이언트를 나열합니다.","これは、すべてのクライアントのリストが表示されます。","זה יוצג רשימה של כל הלקוחות.","Detta kommer att lista alla klienter.","To vypíše všechny klienty.","Это будет список всех клиентов.","Ito ay listahan ng lahat ng mga kliyente.","Kini ilista ang tanan nga mga kliyente.",
"This will list all coupon codes for single use.","This will list all coupon codes for single use.","Dit zal een lijst van alle coupon codes voor eenmalig gebruik.","Esto mostrará una lista de todos los bonos de descuento de un solo uso.","这将列出供单人使用的所有的优惠券代码。","Dadurch werden alle Gutscheincodes für den einmaligen Gebrauch aufzulisten.","Cela va lister tous les codes promo usage unique.","Questo elenco di tutti i codici promozionali per uso singolo.","Isto irá listar todos os códigos de cupom para uso individual.","Αυτό θα εμφανίσει όλους τους κωδικούς κουπόνι για ατομική χρήση.","Będzie to lista wszystkich kodów kuponów do jednorazowego użytku.","Dette vil liste alle kupon koder til engangsbrug.","Tämä listaa kaikki kuponkikoodeista kertakäyttöön.","Dette vil liste alle kupongkoder for engangsbruk.","وهذه القائمة كل رموز القسيمة للاستخدام الفردي.","이것은 하나의 사용에 대한 모든 쿠폰 코드를 나열합니다.","これは、単一の使用のためのすべてのクーポンコードの一覧が表示されます。","זה יוצג רשימה של כל קודי קופון לשימוש יחיד.","Detta kommer att lista alla rabattkoder för engångsbruk.","Tím se seznam všech kódy kupón na jedno použití.","Это список всех скидочных купонов для одноразового использования.","Ito ay listahan ng lahat ng mga code ng kupon para sa single na paggamit.","Kini ilista ang tanan nga kupon code alang sa single nga paggamit.",
"This will list all custom data for a table.","This will list all custom data for a table.","Dit zal een lijst van alle aangepaste data voor een tafel.","Esto mostrará una lista de todos los datos personalizados para una mesa.","这将列出所有自定义数据表。","Dadurch werden alle kundenspezifischen Daten für eine Tabelle aufzulisten.","Cela listera toutes les données personnalisées pour une table.","Questo elenco di tutti i dati personalizzati per un tavolo.","Isto irá listar todos os dados personalizados para uma mesa.","Αυτό θα εμφανίσει όλα τα προσαρμοσμένα στοιχεία για ένα τραπέζι.","Będzie to lista wszystkich danych niestandardowych tabeli.","Dette vil liste alle brugerdefinerede data for en tabel.","Tämä listaa kaikki mukautettuja tietoja taulukon.","Dette vil liste alle tilpassede data for en tabell.","وهذه القائمة جميع البيانات المخصصة لجدول.","이 테이블에 대한 모든 사용자 데이터를 나열합니다.","これは、テーブルのすべてのカスタムデータが一覧表示されます。","זה יפרט את כל הנתונים מותאמים אישית לשולחן.","Detta kommer att lista alla egna data för en tabell.","Tím se seznam všech uživatelských dat pro tabulku.","Это список всех пользовательских данных для таблицы.","Ito ay listahan ng lahat ng mga pasadyang data para sa isang table.","Kini ilista ang tanan nga batasan data alang sa usa ka lamesa.",
"This will list all custom events for the website.","This will list all custom events for the website.","Dit zal een lijst van alle aangepaste gebeurtenissen voor de website.","Esto mostrará una lista de todos los eventos personalizados para el sitio web.","这将列出所有自定义事件的网站。","Dadurch werden alle benutzerdefinierte Ereignisse für die Website aufzulisten.","Cela va lister tous les événements personnalisés pour le site.","Questo elenco di tutti gli eventi personalizzati per il sito web.","Isto irá listar todos os eventos personalizados para o site.","Αυτό θα εμφανίσει όλα τα προσαρμοσμένα εκδηλώσεις για την ιστοσελίδα.","Będzie to lista wszystkich zdarzeń niestandardowych na stronie internetowej.","Dette vil liste alle brugerdefinerede begivenheder for hjemmesiden.","Tämä listaa kaikki mukautetut tapahtumat verkkosivuilla.","Dette vil liste alle egendefinerte hendelser for nettstedet.","وهذه القائمة كل الأحداث المخصصة للموقع.","이 웹 사이트에 대한 모든 사용자 정의 이벤트를 나열합니다.","これは、Webサイトのすべてのカスタムイベントが一覧表示されます。","זה יוצג רשימה של כל האירועים מותאמים אישית עבור אתר האינטרנט.","Detta kommer att lista alla anpassade händelser för webbplatsen.","To vypíše všechny vlastní akce pro webové stránky.","Это список всех пользовательских событий для веб-сайта.","Ito ay listahan ng lahat ng custom na mga kaganapan para sa mga website.","Kini ilista ang tanan nga batasan sa mga panghitabo alang sa mga website.",
"This will list all invoices of the current order.","This will list all invoices of the current order.","Dit zal een lijst van alle facturen van de huidige bestelling.","Esto mostrará una lista de todas las facturas de la orden actual.","这将列出当前订单的所有发票。","Dadurch werden alle Rechnungen der aktuellen Reihenfolge auflisten.","Cela va lister toutes les factures de l'ordre actuel.","Ciò elencherà tutte le fatture dell'ordine corrente.","Isto irá listar todas as faturas da ordem vigente.","Αυτό θα εμφανίσει όλα τα τιμολόγια της τρέχουσας παραγγελίας.","Będzie to lista wszystkich faktur bieżącego zamówienia.","Dette vil liste alle fakturaer for den aktuelle ordre.","Tämä listaa kaikki laskut nykyisen järjestyksen.","Dette vil liste alle fakturaer til dagens orden.","وهذه القائمة جميع الفواتير من أجل الحالي.","이것은 현재 주문의 모든 송장을 나열합니다.","これは、現在の注文のすべての請求書が一覧表示されます。","זה יוצג רשימה של כל החשבוניות של הסדר הנוכחי.","Detta kommer att lista alla fakturor i den nuvarande ordningen.","To vypíše seznam všech faktur aktuálního pořadí.","Это будет список всех счетов текущего заказа.","Ito ay listahan ng lahat ng mga invoice sa mga kasalukuyang order.","Kini ilista ang tanan nga mga invoices sa sa kasamtangan nga order.",
"This will list all the additional lines of an invoice.","This will list all the additional lines of an invoice.","Dit zal een lijst van alle andere lijnen van een factuur.","Esto mostrará una lista de todas las líneas adicionales de una factura.","这将列出发票的所有其他行。","Dadurch werden alle zusätzlichen Zeilen einer Rechnung aufzulisten.","Cela listera toutes les lignes supplémentaires d'une facture.","Questo elenco di tutte le linee aggiuntive di una fattura.","Isto irá listar todas as linhas adicionais de uma factura.","Αυτό θα εμφανίσει όλες τις πρόσθετες γραμμές του τιμολογίου.","Będzie to lista wszystkich dodatkowych wierszy faktury.","Dette vil liste alle de ekstra linjer i en faktura.","Tämä listaa kaikki rivejä laskun.","Dette vil liste alle de ekstra linjer med en faktura.","وهذا سرد كافة خطوط إضافية للفاتورة.","이 송장의 모든 추가 라인을 나열합니다.","これは、請求書のすべての追加の行が一覧表示されます。","זה יוצג רשימה של כל הקווים נוספים של חשבונית.","Detta kommer att lista alla ytterligare rader av en faktura.","To zobrazí všechny další řádky faktury.","Это будет список всех дополнительных линий в фактуры.","Ito ay listahan ng lahat ng mga karagdagang linya ng isang invoice.","Kini ilista ang tanan nga mga dugang nga mga linya sa usa ka resibo.",
"This will list all the answers of the poll.","This will list all the answers of the poll.","Dit zal een lijst van alle antwoorden van de poll.","Esto mostrará una lista de todas las respuestas de la encuesta.","这将列出调查的所有问题的答案。","Dadurch werden alle Antworten der Umfrage aufzulisten.","Cela va lister toutes les réponses du sondage.","Questo elenco di tutte le risposte del sondaggio.","Isto irá listar todas as respostas da enquete.","Αυτό θα εμφανίσει όλες τις απαντήσεις της δημοσκόπησης.","Będzie to lista wszystkich odpowiedzi na ankiety.","Dette vil liste alle de svar i afstemningen.","Tämä listaa kaikki vastaukset kyselyssä.","Dette vil liste alle svarene i spørreundersøkelsen.","وهذه القائمة كل الإجابات الاستطلاع.","이 설문 조사의 모든 대답을 나열합니다.","これは、世論調査のすべての答えが一覧表示されます。","זה יפרט את כל התשובות של הסקר.","Detta kommer att lista alla svar i omröstningen.","Tím se seznam všech odpovědi hlasování.","Это будет список всех ответов опроса.","Ito ay listahan ng lahat ng mga sagot sa mga poll.","Kini ilista ang tanan nga mga tubag sa mga poll.",
"This will list all the applied tax and cost of the current order.","This will list all the applied tax and cost of the current order.","Dit zal een lijst van alle toegepaste belastingen en de kosten van de huidige bestelling.","Esto mostrará una lista de todo el impuesto aplicado y el costo de la orden actual.","这将列出所有的应用税和现行秩序的代价。","Dadurch werden alle angelegten Steuern und Kosten der aktuellen Auftragsliste.","Cela va lister tous la taxe appliquée et le coût de l'ordre actuel.","Questo elenco di tutta la tassa applicata e il costo dell 'ordine corrente.","Isto irá listar todo o imposto aplicado e custo da ordem vigente.","Αυτό θα εμφανίσει όλα τα ισχύοντα φορολογικά και το κόστος της τρέχουσας παραγγελίας.","To listę wszystkich zastosowany podatków i kosztów bieżącego zamówienia.","Dette vil liste alle de anvendte skat og omkostninger for den aktuelle ordre.","Tämä listaa kaikki sovellettu vero ja tämänhetkiset kustannukset järjestyksessä.","Dette vil liste all den påførte skatt og kostnadene for den nåværende ordre.","وهذا سرد كافة الضريبة وتكلفة النظام الحالي.","이 모든 적용되는 세금과 현재 주문의 비용을 나열합니다.","これは、すべての適用税と現在の注文のコストが一覧表示されます。","זה יוצג רשימה של כל המס ועלותו של הצו הנוכחי מיושם.","Detta kommer att lista alla tillämpade skatten och kostnaden för den nuvarande ordningen.","Tím se seznam všech aplikované daně a náklady na aktuální pořadí.","Это будет список всех примененных налог и стоимость текущего заказа.","Ito ay listahan ng lahat ng mga inilapat sa buwis at mga gastos ng kasalukuyang order.","Kini ilista ang tanan nga mga-apply sa buhis ug sa gasto sa sa kasamtangan nga order.",
"This will list all the attribute groups of an attribute set.","This will list all the attribute groups of an attribute set.","Dit zal een lijst van alle attributen groepen van een attribuut set.","Esto mostrará una lista de todos los grupos de atributos de un conjunto de atributos.","这将列出一个属性集的所有属性组。","Dadurch werden alle Attributgruppen eines Attributs Set-Liste.","Cela va lister tous les groupes d'attributs d'un ensemble d'attributs.","Questo elenco di tutti i gruppi di attributi di un set di attributi.","Isto irá listar todos os grupos de atributos de um conjunto de atributos.","Αυτό θα εμφανίσει όλες τις ομάδες χαρακτηριστικό ενός συνόλου χαρακτηριστικών.","Będzie to lista wszystkich grup cechą zestawu atrybutów.","Dette vil liste alle attribut grupper af en attribut sæt.","Tämä listaa kaikki ominaisuus ryhmät attribuuttijoukko.","Dette vil liste alle attributt grupper av et attributt sett.","وهذه القائمة جميع الفئات سمة من مجموعة السمة.","이 속성 세트의 모든 속성 그룹을 나열합니다.","これは、属性セットのすべての属性グループが一覧表示されます。","זה יוצג רשימה של כל קבוצות התכונה של קבוצת תכונה.","Detta kommer att lista alla attributgrupper ett attribut set.","Tím se seznam všech atributů skupiny atributu nastavte.","Это будет список всех атрибутов группы наборе атрибутов.","Ito ay listahan ng lahat ng mga grupo ng katangian ng isang set attribute.","Kini ilista ang tanan nga mga hiyas sa mga grupo sa usa ka kinaiya set.",
"This will list all the attribute items.","This will list all the attribute items.","Dit zal een lijst van alle attributen items.","Esto mostrará una lista de todos los elementos de atributo.","这将列出所有属性的物品。","Dadurch werden alle Attribut Artikel auflisten.","Cela va lister tous les éléments d'attribut.","Questo elenco di tutti gli elementi di attributo.","Isto irá listar todos os itens de atributo.","Αυτό θα εμφανίσει όλα τα στοιχεία χαρακτηριστικό.","Będzie to lista wszystkich przedmiotów atrybutów.","Dette vil liste alle attribut poster.","Tämä listaa kaikki ominaisuus kohteita.","Dette vil liste alle attributt elementer.","وهذا سرد جميع العناصر السمة.","이 모든 속성 항목을 나열합니다.","これは、すべての属性項目が一覧表示されます。","זה יפרט את כל פריטי התכונה.","Detta kommer att lista alla attributobjekt.","Tím se seznam všech atributů položky.","Это будет список всех пунктов атрибутов.","Ito ay listahan ng lahat ng mga item attribute.","Kini ilista ang tanan nga mga hiyas nga mga butang.",
"This will list all the attribute options of an attribute item.","This will list all the attribute options of an attribute item.","Dit zal een lijst van alle attribuut opties van een attribuut punt.","Esto mostrará una lista de todas las opciones de atributos de un elemento de atributo.","这将列出一个属性项目的所有属性选项。","Dadurch werden alle Attributoptionen eines Attributs Artikel auflisten.","Cela va lister toutes les options d'attributs d'un élément d'attribut.","Questo elenco di tutte le opzioni degli attributi di un elemento attributo.","Isto irá listar todas as opções de atributo de um item atributo.","Αυτό θα εμφανίσει όλες τις επιλογές χαρακτηριστικό γνώρισμα ενός στοιχείου.","Będzie to lista wszystkich opcji atrybut elementu atrybutu.","Dette vil liste alle attribut muligheder for en attribut element.","Tämä listaa kaikki ominaisuus vaihtoehdot ominaisuus kohteen.","Dette vil liste alle attributt alternativene for et attributt element.","وهذه القائمة جميع الخيارات السمة بند السمة.","이 속성 항목의 모든 속성 옵션을 나열합니다.","これは、属性項目のすべての属性オプションの一覧が表示されます。","זה יוצג רשימה של כל אפשרויות התכונה של פריט תכונה.","Detta kommer att lista alla attribut alternativ för ett attribut objekt.","To vypíše všechny možnosti atributů položky atributu.","Это будет список всех вариантов атрибутов элемента атрибута.","Ito ay listahan ng lahat ng mga pagpipilian na katangian ng isang item attribute.","Kini ilista ang tanan nga mga hiyas mga kapilian sa usa ka hiyas nga butang.",
"This will list all the attribute sets.","This will list all the attribute sets.","Dit zal een lijst van alle attributen sets.","Esto mostrará una lista de todos los conjuntos de atributos.","这将列出所有的属性集。","Dadurch werden alle Attributsätze aufzulisten.","Cela va lister tous les ensembles d'attributs.","Questo elenco di tutti i set di attributi.","Isto irá listar todos os conjuntos de atributos.","Αυτό θα εμφανίσει όλα τα σύνολα χαρακτηριστικών.","Będzie to lista wszystkich zestawów atrybutów.","Dette vil liste alle de attribut sæt.","Tämä listaa kaikki ominaisuus asetetaan.","Dette vil liste alle attributtsett.","وهذا سرد كافة مجموعات السمة.","이 모든 속성 세트를 나열합니다.","これは、すべての属性セットが一覧表示されます。","זה יוצג רשימה של כל סטי התכונה.","Detta kommer att lista alla attributuppsättningar.","Tím se seznam všech atributů sady.","Это будет список всех наборов атрибутов.","Ito ay listahan ng lahat ng mga hanay ng katangian.","Kini ilista ang tanan nga mga hiyas sets.",
"This will list all the attributes of a item in te shoppingcart.","This will list all the attributes of a item in te shoppingcart.","Dit zal een lijst van alle eigenschappen van een object te winkelwagen.","Esto mostrará una lista de todos los atributos de un elemento en carrito de la compra te.","这将列出在德购物车一个项目的所有属性。","Dadurch werden alle Attribute eines Element in te Warenkorb zu aufzulisten.","Cela va lister tous les attributs d'un objet panier Te.","Questo elenco di tutti gli attributi di un elemento in shoppingcart te.","Isto irá listar todos os atributos de um item no shoppingcart te.","Αυτό θα εμφανίσει όλα τα χαρακτηριστικά ενός στοιχείου σε te shoppingcart.","Będzie to lista wszystkich atrybutów elementu w te Shoppingcart.","Dette vil liste alle attributterne for en post i te indkøbskurven.","Tämä listaa kaikki ominaisuudet kohteen te Ostoskori.","Dette vil liste alle egenskapene til et element i te handlekurv.","وهذه القائمة كل سمات عنصر في shoppingcart الشركة المصرية للاتصالات.","이 테 shoppingCart가있는 항목의 모든 속성을 나열합니다.","これは、TEショッピングカート内のアイテムのすべての属性が一覧表示されます。","זה יפרט את כל התכונות של פריט בshoppingcart te.","Detta kommer att lista alla attribut för ett objekt i te varukorgen.","To vypíše všechny atributy položky v te Nákupní vozík.","Это будет список всех атрибутов элемента в ТЕ ShoppingCart.","Ito ay listahan ng lahat ng mga katangian ng isang item sa te shoppingcart.","Kini ilista ang tanan nga mga hiyas sa usa ka butang diha sa te shoppingcart.",
"This will list all the attributes of the product.","This will list all the attributes of the product.","Dit zal een lijst van alle eigenschappen van het product.","Esto mostrará una lista de todos los atributos del producto.","这将列出该产品的所有属性。","Dadurch werden alle Attribute der Produktliste.","Cela va lister tous les attributs du produit.","Questo elencherà tutti gli attributi del prodotto.","Isto irá listar todos os atributos do produto.","Αυτό θα εμφανίσει όλα τα χαρακτηριστικά του προϊόντος.","Będzie to lista wszystkich atrybutów produktu.","Dette vil liste alle de attributter af produktet.","Tämä listaa kaikki ominaisuudet tuotteen.","Dette vil liste alle egenskapene til produktet.","وهذه القائمة كل سمات المنتج.","이것은 제품의 모든 속성을 나열한다.","これは、製品のすべての属性が一覧表示されます。","זה יפרט את כל התכונות של המוצר.","Detta kommer att lista alla attribut hos produkten.","To vypíše všechny atributy produktu.","Это будет список всех атрибутов продукта.","Ito ay listahan ng lahat ng mga katangian ng produkto.","Kini ilista ang tanan nga mga hiyas sa mga produkto.",
